,tweets,time
28,"1: Bitcoin price is $54894.40 (-0.35% 1h)
2: Ethereum price is $1676.37 (-1.73% 1h)
3: Tether price is $1.00 (0.05%… https://t.co/9FruvIsp8k",2021-03-23 22:19:32
29,on the 03/23/2021 at 10:02 1BTC was worth $54612.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-23 22:02:13
30,RT @faraz_lhr: KP govt is planning to build two hydroelectric-powered pilot Bitcoin mining farms. Hope its not inspired by whatsApp forward…,2021-03-23 22:00:55
31,"Tue Mar 23 23:00:00 2021 (10:35)
USD : 54,660.07
Wght: 208,537
Blk#: 675,993
Size: 1,367.8
Txs : 1,917
Pool: 41,692 (82.3 MB)
#bitcoin",2021-03-23 22:00:44
32,"Top 5 Cryptocurrencies Prices

🔻 $BTC: $54,869.46 | Bitcoin -0.73%
🔻 $ETH: $1,674.43 | Ethereum -2.29% ☄☄
🔻 $USDT:… https://t.co/RYC50TXYCK",2021-03-23 22:00:30
33,"Price of Bitcoin

U$    54,640.22
€U    46,180.62
R$    304,608.65

24H % change: 0.00%
Week % change: -3.00%
Month… https://t.co/Zn9hp8sybE",2021-03-23 22:00:26
34,"RT @selfbankt: 3/3 ""If you coopt the dominant narrative, you can tell them almost anything. They will not challenge the dominant narrative.…",2021-03-23 22:00:24
35,"Price Update: 1 #Bitcoin = $54,648.00 📈 

#cryptocurrency $BTC source https://t.co/Rhm8c542jx",2021-03-23 22:00:18
36,"RT @cryptcoin_trade: Bitcoin: $54,655.49
 +0.60% (+$327.36)
High: $55,818.03
Low: $53,005.00
Volume: 334

$BTC #BTC #bitcoin",2021-03-23 22:00:09
37,"The price of
Spaghetti alla Carbonara
is 20,110 Satoshis
or 0.0002011 BTC

BTC price: 54,650.70 USD
on Tuesday, 23… https://t.co/lMCBsFKNU3",2021-03-23 22:00:05
38,"Crypto highlights as of 2021-03-23 18:00:02:
#Bitcoin $54,703.94 -0.17% 🔻
#Ethereum  $1,667.87  -0.66% 🔻",2021-03-23 22:00:03
39,"Bitcoin: $54,655.49
 +0.60% (+$327.36)
High: $55,818.03
Low: $53,005.00
Volume: 334

$BTC #BTC #bitcoin",2021-03-23 22:00:02
40,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-03-23 21:58:04
41,"Bitcoin Price: $54,647.00
High: $55,836.00 | Low: $53,286.00

1h: -0.07%
24h: -0.34%

ATH: $61,712.00
%Change: -11.68%",2021-03-23 21:55:22
42,"1.4 million $DFN crypto tokens will be earned in the Difo Network airdrop on LATOKEN.
Get your share of rewards by… https://t.co/mRSpwqYP7h",2021-03-23 21:43:45
43,"RT @TransactionFees: Crypto fees (avg) &amp; stats for the past 24 hours:
-&gt; #Bitcoin: $16.25/tx paid in fees
-&gt; #Ethereum: $19.47/tx paid in f…",2021-03-23 21:36:08
44,"Half hourly price update (USDT):

• BSV (Bitcoin): $210.00

Dead forks:

• BTC (Blockstream Turd Coin): $54289.31
• BCH (BTrash): $510.98",2021-03-23 21:29:09
45,"1: Bitcoin price is $54679.02 (-1.76% 1h)
2: Ethereum price is $1676.52 (-2.35% 1h)
3: Tether price is $1.00 (-0.02… https://t.co/AVS2yZv9sg",2021-03-23 21:19:32
46,"The current price of Bitcoin is $54473.00.
The current price of BCash is $512.12, or 0.00940135 BTC.
The current pr… https://t.co/cBvbCtw0N1",2021-03-23 21:15:02
47,"RT @WhaleTrades: 📉💰$4,000,000 #bitcoin SHORTED @$54,361.7577 [23/03/21 21:00:56]
🏤BitMEX | $XBTUSD

💬Margin call is coming - LucyberX",2021-03-23 21:14:22
48,"Market Wrap: Bitcoin Near $56K, Struggles With Flat Activity on Exchanges: Bitcoin (BTC) trading around $55,772.02… https://t.co/0dgM37jTK3",2021-03-23 21:03:02
49,"RT @WhaleTrades: 📉💰$4,000,000 #bitcoin SHORTED @$54,361.7577 [23/03/21 21:00:56]
🏤BitMEX | $XBTUSD

💬Margin call is coming - LucyberX",2021-03-23 21:02:26
50,on the 03/23/2021 at 09:01 1BTC was worth $54388.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-23 21:01:42
51,"📉💰$4,000,000 #bitcoin SHORTED @$54,361.7577 [23/03/21 21:00:56]
🏤BitMEX | $XBTUSD

💬Margin call is coming - LucyberX",2021-03-23 21:00:57
52,"Top 5 Cryptocurrencies - Current Prices

Bitcoin $BTC: $54,647.44 🔻 -1.91% ☄☄
Ethereum $ETH: $1,681.91 🔻 -2.04% ☄☄… https://t.co/NWRnuFt2n1",2021-03-23 21:00:31
53,"Price of Bitcoin

U$    54,425.36
€U    45,973.41
R$    303,185.00

24H % change: -0.28%
Week % change: -3.41%
Mont… https://t.co/UfPhBn9vG0",2021-03-23 21:00:25
54,Crypto Google Search Volumes (previous 7 days) #btc #cryptocurrency #crypto #bitcoin #dogecoin #cardano #ethereum T… https://t.co/ZGUQLCbxyQ,2021-03-23 21:00:05
55,"The price of
Spaghetti alla Carbonara
is 20,187 Satoshis
or 0.00020187 BTC

BTC price: 54,439.70 USD
on Tuesday, 23… https://t.co/tR6vBQQR1a",2021-03-23 21:00:04
56,"Bitcoin: $54,429.71
 -0.15% (-$79.97)
High: $55,818.03
Low: $53,005.00
Volume: 356

$BTC #BTC #bitcoin",2021-03-23 21:00:03
57,New Bitcoin block 00..baf5da463982af3e4aa0d9b96c50df532aeb0d3d4fb88: 2284 transactions transferred a total of 1591.… https://t.co/mJHbnLqwKJ,2021-03-23 20:58:56
58,RT @johanxcv: i been saying you man should invest in fat babes and pay for their gym membership man this shit like bitcoin i sweater God,2021-03-23 20:56:28
59,"RT @sethisimmons: 1/ As the same FUD gets spouted yet again without any real detail, I guess it’s time to circle back to the trifecta of #B…",2021-03-23 20:56:11
60,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 20:41:23
61,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 20:41:03
62,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 20:38:18
63,"RT @BallietBran: https://t.co/ysZWtKK5RO

Join us for Episode 10 of the Knight's Of The Crypto Table Tonight At 7:00 PM PST.

See you all t…",2021-03-23 20:29:01
64,"RT @unitedeurope_eu: 💡 Don’t miss our YPS on Cryptocurrency💰and the digital 💶this Friday 26.03 at 17:00 hrs CET 🇪🇺

Register here 👉 https:/…",2021-03-23 20:23:33
65,@JohnReddyK @ParikPatelCFA If only the US treasury bought #bitcoin @ $2.00.  Every American would be a billionaire.,2021-03-23 20:20:20
66,"1: Bitcoin price is $55088.74 (-1.27% 1h)
2: Ethereum price is $1705.84 (-0.79% 1h)
3: Tether price is $1.00 (-0.11… https://t.co/bfDRzJJcfO",2021-03-23 20:19:32
67,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 20:16:32
68,"The current price of Bitcoin is $55003.00.
The current price of BCash is $515.79, or 0.00937749 BTC.
The current pr… https://t.co/R1fmvDFDxu",2021-03-23 20:15:07
69,"@rogerkver Awesome! I made 15,000.00 u.s d. From bitcoin in 2 months....if I want to use it to buy something, I'll… https://t.co/lcCCTs3ezI",2021-03-23 20:11:59
70,"RT @MXC_Exchange: #MXCExchange will be listing $CRING on the Innovation Zone today. @DarwiniaNetwork 🔥

Deposit &amp; withdrawal is now OPEN 🎉…",2021-03-23 20:11:24
71,"RT @MXC_Exchange: #MXCExchange will be listing $MATH on the Assessment Zone today. @MathWallet 

Deposit &amp; withdrawal is now OPEN 🎉

MATH/U…",2021-03-23 20:10:56
72,"RT @MXC_Exchange: 📢#MXCExchange will be listing $TARA on the Assessment Zone today. @taraxa_project 🔥

Deposit &amp; withdrawal is now OPEN🎉

T…",2021-03-23 20:09:41
73,"RT @MXC_Exchange: 📢#MXCExchange will be listing $BANK on the Assessment Zone today. @floatprotocol 🪙

Deposit &amp; withdrawal is now OPEN 🎉
BA…",2021-03-23 20:09:13
74,"RT @MXC_Exchange: 📢#MXCExchange will be listing $BANK on the Assessment Zone today. 
@floatprotocol 🪙

Deposit &amp; withdrawal is now OPEN 🎉
B…",2021-03-23 20:09:09
75,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-23 20:08:36
76,on the 03/23/2021 at 08:03 1BTC was worth $54893.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-23 20:03:49
77,"Tue Mar 23 21:00:07 2021 (13:04)
USD : 55,055.13
Wght: 210,044
Blk#: 675,980
Size: 1,331.0
Txs : 2,485
Pool: 41,935 (82.8 MB)
#bitcoin",2021-03-23 20:01:01
78,"Top 5 Cryptocurrencies Prices

$BTC: $55,275.52 - Bitcoin 🔻 -1.02% ☄
$ETH: $1,713.74 - Ethereum 🔻 -0.36%
$BNB: $258… https://t.co/JLGxuBm7w3",2021-03-23 20:00:26
79,"The price of
Spaghetti alla Carbonara
is 19,982 Satoshis
or 0.00019982 BTC

BTC price: 55,000.00 USD
on Tuesday, 23… https://t.co/FwC1dggYUW",2021-03-23 20:00:07
80,"Crypto highlights as of 2021-03-23 16:00:02:
#Bitcoin $55,172.85 -1.7% 🔻
#Ethereum  $1,710.68  -2.15% 🔻",2021-03-23 20:00:03
81,"Bitcoin: $55,006.24
 -1.01% (-$563.76)
High: $56,001.77
Low: $53,005.00
Volume: 394

$BTC #BTC #bitcoin",2021-03-23 20:00:03
82,"RT @sethisimmons: 1/ As the same FUD gets spouted yet again without any real detail, I guess it’s time to circle back to the trifecta of #B…",2021-03-23 19:47:17
83,"RT @MoonOverlord: selling my bitclout on day 1 is like selling bitcoin at $1.00

send tweet",2021-03-23 19:46:14
84,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 19:45:00
85,"@anhfx19 @Trader_Dante Looks exactly like the 3 month chart of $WCRES 

https://t.co/jBi8VHcBS0

#defi
#bitcoin 

B… https://t.co/wJ2ZsL2Pfi",2021-03-23 19:34:56
86,"RT @sethisimmons: 1/ As the same FUD gets spouted yet again without any real detail, I guess it’s time to circle back to the trifecta of #B…",2021-03-23 19:34:30
87,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 19:30:21
88,"Half hourly price update (USDT):

• BSV (Bitcoin): $212.00

Dead forks:

• BTC (Blockstream Turd Coin): $54938.71
• BCH (BTrash): $517.00",2021-03-23 19:28:57
89,"RT @TickerTop: 1: Bitcoin price is $55655.83 (-0.52% 1h)
2: Ethereum price is $1716.90 (-0.29% 1h)
3: Binance Coin price is $259.09 (-0.69%…",2021-03-23 19:23:43
90,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,80% ($-441,43) in 181 min 4 sec
Current Price: $55 055,00
Daily Ch… https://t.co/Fv1jiJKEwj",2021-03-23 19:23:32
91,"ShadowTrader Swing Trader Advisory - $GBTC -
Sell the Stock
Company: Grayscale Bitcoin Trust BTC (GBTC)
Action: Sel… https://t.co/QwtjWmsWWZ",2021-03-23 19:20:35
92,"1: Bitcoin price is $55655.83 (-0.52% 1h)
2: Ethereum price is $1716.90 (-0.29% 1h)
3: Binance Coin price is $259.0… https://t.co/csA8EWOpdG",2021-03-23 19:19:32
93,"RT @sethisimmons: 1/ As the same FUD gets spouted yet again without any real detail, I guess it’s time to circle back to the trifecta of #B…",2021-03-23 19:19:16
94,"The current price of Bitcoin is $55465.00.
The current price of BCash is $519.35, or 0.00936356 BTC.
The current pr… https://t.co/cS7D3GqKDj",2021-03-23 19:15:02
95,"1/ As the same FUD gets spouted yet again without any real detail, I guess it’s time to circle back to the trifecta… https://t.co/9VGQZydQEB",2021-03-23 19:11:28
96,"Tue Mar 23 20:07:20 2021 (8:00)
USD : 55,505.93
Wght: 211,764
Blk#: 675,972
Size: 1,121.8
Txs : 1,732
Pool: 49,415 (84.8 MB)
#bitcoin",2021-03-23 19:07:54
97,on the 03/23/2021 at 07:01 1BTC was worth $55441.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-23 19:01:25
98,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 19:01:13
99,"Top 5 Cryptocurrencies Prices

⬆️ $BTC: $55,712.16 | Bitcoin +0.13%
⬆️ $ETH: $1,716.85 | Ethereum +0.22%
🔻 $BNB: $2… https://t.co/53kcgyr4J1",2021-03-23 19:00:26
100,Bitcoin Fear Index on google search statistics (higher = more market fear) #Bitcoin #BTC #dataviz… https://t.co/usNQy3ElAf,2021-03-23 19:00:05
101,"The price of
Spaghetti alla Carbonara
is 19,833 Satoshis
or 0.00019833 BTC

BTC price: 55,412.60 USD
on Tuesday, 23… https://t.co/sEwFGAwqOr",2021-03-23 19:00:03
102,"Bitcoin: $55,371.98
 -2.06% (-$1164.18)
High: $56,557.92
Low: $53,005.00
Volume: 407

$BTC #BTC #bitcoin",2021-03-23 19:00:03
103,"Half hourly price update (USDT):

• BSV (Bitcoin): $212.00

Dead forks:

• BTC (Blockstream Turd Coin): $55468.16
• BCH (BTrash): $519.13",2021-03-23 18:58:54
104,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 18:54:01
105,The price of 1 Bitcoin sitting at R844 009.00 🤣🤣🤣 LRT last week was R910k https://t.co/8pYnNGrqMm,2021-03-23 18:50:33
106,"RT @scarcedotcity: ⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19:00 U…",2021-03-23 18:47:12
107,"⚡️💥LIGHTNING AUCTION💥⚡️

🦖☄️Bitcoin White Paper 2020🦖☄️

By @CypherpunkNow 
 
⌛️24 hr auction begins Thursday at 19… https://t.co/BhRN3Q2R9v",2021-03-23 18:46:42
108,"RT @LilNasX: MONTERO (CMBYN) OUT THIS FRIDAY!!! I’m giving out $100,000 worth of Bitcoin !!! Quote this with your $cashtag and #CMBYN and I…",2021-03-23 18:46:04
109,"RT @YourBTCC: Guess #Bitcoin Price by 17:00:00 on 28 March, 2021 (UTC + 8).

1⃣Follow &amp; RT
2⃣Comment to win 50 USDT

Register to win extra…",2021-03-23 18:39:46
110,"RT @CypherpunkNow: AP printing is created during the printing of the entire series, but it is excluded from the numbered series.
Only 2 APs…",2021-03-23 18:38:23
111,RT @jamesviggy: The last friday of every month between 7:30-8:00 AM UTC is when the outcome of derivative bets on Bitcoin is determined @De…,2021-03-23 18:32:32
112,"RT @selfbankt: 3/3 ""If you coopt the dominant narrative, you can tell them almost anything. They will not challenge the dominant narrative.…",2021-03-23 18:30:53
113,"Price of Bitcoin

U$    55,743.92
€U    47,104.14
R$    309,226.14

24H % change: -2.30%
Week % change: 0.62%
Month… https://t.co/7BQQPUgWsB",2021-03-23 18:30:26
114,I hop on Twitter and see @LilNasX giving out bitcoin that man the 🐐,2021-03-23 18:23:59
115,New Bitcoin block 00..4f95fa91d51bbde92580b844ecef4e0f9e80129bb3137: 1326 transactions transferred a total of 2749.… https://t.co/fyjdiJuQZm,2021-03-23 18:22:08
116,"Ledger Nano S - The Best Crypto Hardware Wallet - Secure and Manage Your Bitcoin, Ethereum, ERC20 and Many Other Co… https://t.co/j12SnXNylY",2021-03-23 18:22:07
117,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-03-23 18:21:32
118,"1: Bitcoin price is $55800.04 (1.09% 1h)
2: Ethereum price is $1719.39 (0.94% 1h)
3: Binance Coin price is $259.90… https://t.co/k7x2SvWqYZ",2021-03-23 18:19:32
119,"RT @ItconsultingL: $SPRT 

Low Float 19.4M Outstanding 
31.42 % Held by Institutions
Merger w #Bitcoin Minor 
Greenridge Generation Holding…",2021-03-23 18:18:59
120,"RT @plebmusic: 🔥 COME JOIN THE TOXIC HAPPY HOUR 🔥

@guydbennett @Anders_ @maxkeiser and @stacyherbert at 2:00 p.m. EST to talk all things #…",2021-03-23 18:16:57
121,"The current price of Bitcoin is $55646.00.
The current price of BCash is $520.78, or 0.00935880 BTC.
The current pr… https://t.co/0LqqVnyDk7",2021-03-23 18:15:02
122,"RT @plebmusic: 🔥 COME JOIN THE TOXIC HAPPY HOUR 🔥

@guydbennett @Anders_ @maxkeiser and @stacyherbert at 2:00 p.m. EST to talk all things #…",2021-03-23 18:10:34
123,"RT @guydbennett: 🔥 TOXIC HAPPY HOUR 🔥

Join Pubby and Danish @Anders_ as we get to hang out with the incomparable pairing of @maxkeiser and…",2021-03-23 18:09:28
124,"RT @1400stimulus: $BTC: $1,358.04 (97.00%)
$ETH: $1,352.28 (96.59%)
$ADA: $1,546.57 (110.47%)
$BNB: $1,378.80 (98.49%)
$DOGE: $1,389.04 (99…",2021-03-23 18:07:13
125,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 18:06:44
126,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 18:06:35
127,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 18:06:34
128,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 18:06:20
129,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 18:06:19
130,"$BTC: $1,358.04 (97.00%)
$ETH: $1,352.28 (96.59%)
$ADA: $1,546.57 (110.47%)
$BNB: $1,378.80 (98.49%)
$DOGE: $1,389.… https://t.co/bULklliXc7",2021-03-23 18:06:05
131,"RT @mrbitcoinshow: I'm discussing “Bitcoin for Boomers” with @BitcoinTina and Bitcoin Valley Club. Tuesday, 23 Mar at 2:00 PM ET on @joincl…",2021-03-23 18:05:46
132,"The $BTC price is at $55720.00 right now.
🟢 Compared to the last tweet, the price has increased by $161 (0.29%).
🔴… https://t.co/A4DOxZhUnG",2021-03-23 18:04:23
133,on the 03/23/2021 at 06:02 1BTC was worth $55770.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-23 18:02:56
134,"$SPRT 

Low Float 19.4M Outstanding 
31.42 % Held by Institutions
Merger w #Bitcoin Minor 
Greenridge Generation Ho… https://t.co/Pj4FlOWRF4",2021-03-23 18:02:32
135,"RT @TransactionFees: Crypto fees (avg) &amp; stats for the past 24 hours:
-&gt; #Bitcoin: $16.25/tx paid in fees
-&gt; #Ethereum: $19.47/tx paid in f…",2021-03-23 18:02:23
136,"RT @TransactionFees: Crypto fees (avg) &amp; stats for the past 24 hours:
-&gt; #Bitcoin: $16.25/tx paid in fees
-&gt; #Ethereum: $19.47/tx paid in f…",2021-03-23 18:01:39
137,"#Bitcoin

Price (Binance): $55755.41 (0.13)%
Dominance: 61.00 (0.01)%
Calculated by TradingView

#btc #altcoin $btc $alts",2021-03-23 18:00:24
138,"Top 5 Cryptocurrencies - Current Prices

Bitcoin $BTC: $55,843.50 ⬆️ +0.89%
Ethereum $ETH: $1,719.96 ⬆️ +0.68%
Bina… https://t.co/ORJoj57fDy",2021-03-23 18:00:22
139,"Crypto highlights as of 2021-03-23 14:00:02:
#Bitcoin $55,700.95 -2.48% 🔻
#Ethereum  $1,715.47  -3.61% 🔻",2021-03-23 18:00:03
140,"The price of
Spaghetti alla Carbonara
is 19,731 Satoshis
or 0.00019731 BTC

BTC price: 55,699.90 USD
on Tuesday, 23… https://t.co/7tpJeEYCoh",2021-03-23 18:00:02
141,"RT @cryptcoin_trade: Bitcoin: $55,702.37
 -2.44% (-$1391.58)
High: $57,171.45
Low: $53,005.00
Volume: 410

$BTC #BTC #bitcoin",2021-03-23 18:00:02
142,"Bitcoin: $55,702.37
 -2.44% (-$1391.58)
High: $57,171.45
Low: $53,005.00
Volume: 410

$BTC #BTC #bitcoin",2021-03-23 18:00:02
143,"RT @fulmolightning: What have you done for Bitcoin today? 

#7DaysOfBitcoin daily recap (day 3) with @LightRider5, @veronikakuett, @LouisaA…",2021-03-23 17:52:36
144,RT @freeagentglobal: Twitter CEO Jack Dorsey's first tweet NFT sells for $2.9 million 🪙🪙🪙  https://t.co/fF1Iwt2m1D #business #NFTs #etheriu…,2021-03-23 17:51:34
